,nationality,eenheid
0,Algeria,2
1,Argentina,12
2,Armenia,1
3,Austria,2
4,Belgium,12
5,Bosnia and Herzegovina,1
6,Brazil,16
7,Cameroon,1
8,Chile,2
9,Colombia,3
10,Croatia,2
11,Czech Republic,1
12,Côte d'Ivoire,2
13,Denmark,3
14,Ecuador,1
15,Egypt,2
17,Equatorial Guinea,1
18,France,20
19,Gabon,1
20,Germany,7
21,Ghana,1
22,Greece,2
23,Guinea,1
24,Iceland,1
25,Italy,5
26,Jamaica,1
27,Japan,1
28,Kenya,1
29,Mali,1
30,Mexico,2
31,Montenegro,1
32,Morocco,1
33,Netherlands,7
34,Nigeria,4
36,Paraguay,1
37,Poland,1
38,Portugal,14
39,Republic of Ireland,5
41,Senegal,2
42,Serbia,1
43,South Korea,1
44,Spain,21
45,Sweden,1
46,Switzerland,3
47,Turkey,2
48,Ukraine,2
49,Uruguay,1
