,team,balbezit,Top10
0,Manchester United,46,top10
1,Leicester City,54,top10
2,Newcastle United,40,overig
3,Tottenham Hotspur,60,top10
4,AFC Bournemouth,62,overig
5,Cardiff City,38,overig
6,Fulham,66,overig
7,Crystal Palace,34,overig
8,Huddersfield Town,37,overig
9,Chelsea,63,top10
10,Watford,53,overig
11,Brighton & Hove Albion,47,overig
12,Wolverhampton Wanderers,57,top10
13,Everton,43,top10
14,Liverpool,64,top10
15,West Ham United,36,top10
16,Southampton,47,overig
17,Burnley,53,overig
18,Arsenal,42,top10
19,Manchester City,58,top10
20,Cardiff City,51,overig
21,Newcastle United,49,overig
22,Everton,58,top10
23,Southampton,42,overig
24,Leicester City,42,top10
25,Wolverhampton Wanderers,58,top10
26,Tottenham Hotspur,59,top10
27,Fulham,41,overig
28,West Ham United,61,top10
29,AFC Bournemouth,39,overig
30,Chelsea,62,top10
31,Arsenal,38,top10
32,Burnley,58,overig
33,Watford,42,overig
34,Manchester City,76,top10
35,Huddersfield Town,24,overig
36,Brighton & Hove Albion,33,overig
37,Manchester United,67,top10
38,Crystal Palace,36,overig
39,Liverpool,64,top10
40,Wolverhampton Wanderers,28,top10
41,Manchester City,72,top10
42,AFC Bournemouth,49,overig
43,Everton,51,top10
44,Arsenal,61,top10
45,West Ham United,39,top10
46,Huddersfield Town,58,overig
47,Cardiff City,42,overig
48,Southampton,51,overig
49,Leicester City,49,top10
50,Liverpool,70,top10
51,Brighton & Hove Albion,30,overig
52,Watford,43,overig
53,Crystal Palace,57,overig
54,Fulham,63,overig
55,Burnley,37,overig
56,Newcastle United,18,overig
57,Chelsea,82,top10
58,Manchester United,57,top10
59,Tottenham Hotspur,43,top10
60,Leicester City,51,top10
61,Liverpool,49,top10
62,Brighton & Hove Albion,41,overig
63,Fulham,59,overig
64,Chelsea,72,top10
65,AFC Bournemouth,28,overig
66,Crystal Palace,50,overig
67,Southampton,50,overig
68,Everton,57,top10
69,Huddersfield Town,43,overig
70,West Ham United,47,top10
71,Wolverhampton Wanderers,53,top10
72,Manchester City,78,top10
73,Newcastle United,22,overig
74,Cardiff City,27,overig
75,Arsenal,73,top10
76,Burnley,46,overig
77,Manchester United,54,top10
78,Watford,34,overig
79,Tottenham Hotspur,66,top10
80,Tottenham Hotspur,60,top10
81,Liverpool,40,top10
82,AFC Bournemouth,46,overig
83,Leicester City,54,top10
84,Chelsea,76,top10
85,Cardiff City,24,overig
86,Huddersfield Town,58,overig
87,Crystal Palace,42,overig
88,Manchester City,64,top10
89,Fulham,36,overig
90,Newcastle United,36,overig
91,Arsenal,64,top10
92,Watford,42,overig
93,Manchester United,58,top10
94,Wolverhampton Wanderers,58,top10
95,Burnley,42,overig
96,Everton,55,top10
97,West Ham United,45,top10
98,Southampton,51,overig
99,Brighton & Hove Albion,49,overig
100,Fulham,60,overig
101,Watford,40,overig
102,Burnley,37,overig
103,AFC Bournemouth,63,overig
104,Cardiff City,21,overig
105,Manchester City,79,top10
106,Crystal Palace,61,overig
