,referee,wedstrijden,total_yellow,total_red,yellow per game,red per game
0,Anthony Taylor,32,102,1,3.1875,0.03125
1,Michael Oliver,30,85,7,2.8333333333333335,0.23333333333333334
2,Martin Atkinson,29,91,1,3.1379310344827585,0.034482758620689655
3,Mike Dean,29,134,10,4.620689655172414,0.3448275862068966
4,Jonathan Moss,27,97,5,3.5925925925925926,0.18518518518518517
5,Andre Marriner,27,76,3,2.814814814814815,0.1111111111111111
6,Kevin Friend,27,92,3,3.4074074074074074,0.1111111111111111
7,Craig Pawson,26,92,7,3.5384615384615383,0.2692307692307692
8,Chris Kavanagh,24,75,2,3.125,0.08333333333333333
9,Paul Tierney,24,82,1,3.4166666666666665,0.041666666666666664
10,Stuart Attwell,20,63,1,3.15,0.05
11,Lee Mason,19,63,1,3.3157894736842106,0.05263157894736842
12,Lee Probert,18,48,4,2.6666666666666665,0.2222222222222222
13,Graham Scott,17,38,1,2.235294117647059,0.058823529411764705
14,David Coote,11,35,0,3.1818181818181817,0.0
15,Roger East,10,44,0,4.4,0.0
16,Simon Hooper,8,20,0,2.5,0.0
17,Andy Madley,2,2,0,1.0,0.0
