,Naam,Leeftijd,Positie,Minuten gespeeld,Aantal gespeeld,Doelpunten,Assists,clean sheets,tegendoelpunten per 90 min,Doelpunten betrokken,Gele kaarten,Rode kaarten,minuten per kaart
0,Aaron Cresswell,32,Defender,1589,20,0,1,3,1.25,0.06,1,0,1589
3,Aaron Ramsey,31,Midfielder,1327,28,4,6,7,0.81,0.68,0,0,0
10,Adam David Lallana,33,Midfielder,465,13,0,0,6,0.39,0.0,1,0,465
14,Adama Traoré Diarra,25,Midfielder,890,29,1,1,6,1.11,0.2,1,0,890
15,Ademola Lookman,24,Forward,601,21,0,2,8,1.05,0.3,0,0,0
19,Ainsley Maitland-Niles,24,Midfielder,985,16,1,1,4,1.46,0.18,3,1,328
20,Alberto Moreno,29,Defender,155,2,0,0,0,1.16,0.0,0,0,0
22,Alex Iwobi,25,Forward,1972,35,3,6,8,1.41,0.41,0,0,0
28,Alexandre Lacazette,30,Forward,2503,35,13,8,7,1.01,0.76,2,0,1252
30,Alexis Sanchez,33,Forward,877,20,1,3,6,0.82,0.41,3,0,292
36,Alisson Becker,29,Goalkeeper,3420,38,0,0,21,0.5,0.0,1,0,3420
37,Alvaro Morata,29,Forward,943,16,5,0,9,1.05,0.48,3,0,314
38,Ander Herrera,32,Midfielder,1404,22,2,3,6,1.09,0.32,4,0,351
39,André Filipe Tavares Gomes,28,Midfielder,1986,27,1,1,10,1.22,0.09,7,0,284
43,Andreas Christensen,25,Defender,615,8,0,0,3,1.02,0.0,1,0,615
44,Andreas Pereira,26,Midfielder,595,15,1,1,1,1.51,0.3,5,0,119
45,Andrew Robertson,27,Defender,3219,36,0,11,21,0.48,0.31,4,0,805
47,Andriy Yarmolenko,32,Forward,459,9,2,0,1,0.78,0.39,2,0,230
49,Andy Carroll,33,Forward,454,12,0,0,2,1.19,0.0,2,0,227
51,Angelo Ogbonna,33,Defender,1870,24,1,1,3,1.54,0.1,2,0,935
55,Anthony Martial,26,Forward,1623,27,10,2,5,1.39,0.67,2,0,812
57,Antonio Rüdiger,28,Defender,2874,33,1,0,12,1.06,0.03,7,0,411
58,Antonio Valencia,36,Defender,466,6,0,0,2,0.97,0.0,2,0,233
61,Arthur Masuaku,28,Defender,1756,23,0,1,6,1.33,0.05,2,0,878
65,Ashley Young,36,Midfielder,2568,30,2,2,4,1.44,0.14,10,1,257
67,Aymeric Laporte,27,Defender,3057,35,3,3,18,0.62,0.18,3,0,1019
