,Week,Wedstrijd,Scheidsrechter,Eindstand,Toeschouwers
0,1,Manchester United - Leicester City,Andre Marriner,2 - 1,74439
1,1,Newcastle United - Tottenham Hotspur,Martin Atkinson,1 - 2,51749
2,1,AFC Bournemouth - Cardiff City,Kevin Friend,2 - 0,10353
3,1,Fulham - Crystal Palace,Mike Dean,0 - 2,24821
4,1,Huddersfield Town - Chelsea,Chris Kavanagh,0 - 3,24121
5,1,Watford - Brighton & Hove Albion,Jonathan Moss,2 - 0,20051
6,1,Wolverhampton Wanderers - Everton,Craig Pawson,2 - 2,31231
7,1,Liverpool - West Ham United,Anthony Taylor,4 - 0,53235
8,1,Southampton - Burnley,Graham Scott,0 - 0,30784
9,1,Arsenal - Manchester City,Michael Oliver,0 - 2,59934
10,2,Cardiff City - Newcastle United,Craig Pawson,0 - 0,30720
11,2,Everton - Southampton,Lee Mason,2 - 1,38601
12,2,Leicester City - Wolverhampton Wanderers,Mike Dean,2 - 0,32043
13,2,Tottenham Hotspur - Fulham,Anthony Taylor,3 - 1,58297
14,2,West Ham United - AFC Bournemouth,Stuart Attwell,1 - 2,56888
15,2,Chelsea - Arsenal,Martin Atkinson,3 - 2,40491
16,2,Burnley - Watford,Paul Tierney,1 - 3,18822
17,2,Manchester City - Huddersfield Town,Andre Marriner,6 - 1,54021
18,2,Brighton & Hove Albion - Manchester United,Kevin Friend,3 - 2,30592
19,2,Crystal Palace - Liverpool,Michael Oliver,0 - 2,25750
20,3,Wolverhampton Wanderers - Manchester City,Martin Atkinson,1 - 1,31222
21,3,AFC Bournemouth - Everton,Lee Probert,2 - 2,10654
22,3,Arsenal - West Ham United,Graham Scott,3 - 1,59830
23,3,Huddersfield Town - Cardiff City,Michael Oliver,0 - 0,21193
24,3,Southampton - Leicester City,Jonathan Moss,1 - 2,29925
25,3,Liverpool - Brighton & Hove Albion,Chris Kavanagh,1 - 0,53294
26,3,Watford - Crystal Palace,Anthony Taylor,2 - 1,20014
27,3,Fulham - Burnley,David Coote,4 - 2,23438
28,3,Newcastle United - Chelsea,Paul Tierney,1 - 2,51791
29,3,Manchester United - Tottenham Hotspur,Craig Pawson,0 - 3,74400
30,4,Leicester City - Liverpool,Paul Tierney,1 - 2,32149
31,4,Brighton & Hove Albion - Fulham,Lee Probert,2 - 2,30526
32,4,Chelsea - AFC Bournemouth,Lee Mason,2 - 0,40178
33,4,Crystal Palace - Southampton,Martin Atkinson,0 - 2,25495
34,4,Everton - Huddersfield Town,Stuart Attwell,1 - 1,38767
35,4,West Ham United - Wolverhampton Wanderers,Chris Kavanagh,0 - 1,59947
36,4,Manchester City - Newcastle United,Kevin Friend,2 - 1,53946
37,4,Cardiff City - Arsenal,Anthony Taylor,2 - 3,32316
38,4,Burnley - Manchester United,Jonathan Moss,0 - 2,21525
39,4,Watford - Tottenham Hotspur,Andre Marriner,2 - 1,20141
40,5,Tottenham Hotspur - Liverpool,Michael Oliver,1 - 2,80188
41,5,AFC Bournemouth - Leicester City,Craig Pawson,4 - 2,10543
42,5,Chelsea - Cardiff City,Jonathan Moss,4 - 1,40499
43,5,Huddersfield Town - Crystal Palace,Lee Mason,0 - 1,23696
44,5,Manchester City - Fulham,Stuart Attwell,3 - 0,53307
45,5,Newcastle United - Arsenal,Lee Probert,1 - 2,52165
46,5,Watford - Manchester United,Mike Dean,1 - 2,20537
47,5,Wolverhampton Wanderers - Burnley,Andre Marriner,1 - 0,30406
48,5,Everton - West Ham United,Martin Atkinson,1 - 3,39161
49,5,Southampton - Brighton & Hove Albion,Anthony Taylor,2 - 2,27742
50,6,Fulham - Watford,Martin Atkinson,1 - 1,23418
51,6,Burnley - AFC Bournemouth,Anthony Taylor,4 - 0,18636
52,6,Cardiff City - Manchester City,Michael Oliver,0 - 5,32321
53,6,Crystal Palace - Newcastle United,Andre Marriner,0 - 0,25679
54,6,Leicester City - Huddersfield Town,David Coote,3 - 1,31676
55,6,Liverpool - Southampton,Paul Tierney,3 - 0,50965
56,6,Manchester United - Wolverhampton Wanderers,Kevin Friend,1 - 1,74489
57,6,Brighton & Hove Albion - Tottenham Hotspur,Chris Kavanagh,1 - 2,30531
58,6,West Ham United - Chelsea,Mike Dean,0 - 0,56875
59,6,Arsenal - Everton,Jonathan Moss,2 - 0,59964
60,7,West Ham United - Manchester United,Michael Oliver,3 - 1,56938
61,7,Arsenal - Watford,Anthony Taylor,2 - 0,60019
62,7,Everton - Fulham,Roger East,3 - 0,38788
63,7,Huddersfield Town - Tottenham Hotspur,Craig Pawson,0 - 2,23885
64,7,Manchester City - Brighton & Hove Albion,Lee Mason,2 - 0,54152
65,7,Newcastle United - Leicester City,Simon Hooper,0 - 2,51523
66,7,Wolverhampton Wanderers - Southampton,Stuart Attwell,2 - 0,31147
67,7,Chelsea - Liverpool,Andre Marriner,1 - 1,40625
68,7,Cardiff City - Burnley,Martin Atkinson,1 - 2,30411
69,7,AFC Bournemouth - Crystal Palace,Mike Dean,2 - 1,10199
70,8,Brighton & Hove Albion - West Ham United,Kevin Friend,1 - 0,30544
71,8,Burnley - Huddersfield Town,Chris Kavanagh,1 - 1,20533
72,8,Crystal Palace - Wolverhampton Wanderers,Michael Oliver,0 - 1,25715
73,8,Leicester City - Everton,Andre Marriner,1 - 2,32007
74,8,Tottenham Hotspur - Cardiff City,Mike Dean,1 - 0,43268
75,8,Watford - AFC Bournemouth,Jonathan Moss,0 - 4,20139
76,8,Manchester United - Newcastle United,Anthony Taylor,3 - 2,74519
77,8,Fulham - Arsenal,Paul Tierney,1 - 5,25401
78,8,Southampton - Chelsea,Craig Pawson,0 - 3,27077
79,8,Liverpool - Manchester City,Martin Atkinson,0 - 0,52117
80,9,Chelsea - Manchester United,Mike Dean,2 - 2,40721
81,9,AFC Bournemouth - Southampton,Lee Probert,0 - 0,10986
82,9,Cardiff City - Fulham,Kevin Friend,4 - 2,29681
83,9,Manchester City - Burnley,Jonathan Moss,5 - 0,54094
84,9,Newcastle United - Brighton & Hove Albion,Andre Marriner,0 - 1,50329
85,9,West Ham United - Tottenham Hotspur,Martin Atkinson,0 - 1,56921
86,9,Wolverhampton Wanderers - Watford,Lee Mason,0 - 2,31144
87,9,Huddersfield Town - Liverpool,Michael Oliver,0 - 1,24263
88,9,Everton - Crystal Palace,Anthony Taylor,2 - 0,38668
89,9,Arsenal - Leicester City,Chris Kavanagh,3 - 1,59886
90,10,Brighton & Hove Albion - Wolverhampton Wanderers,Anthony Taylor,1 - 0,30654
91,10,Fulham - AFC Bournemouth,Andre Marriner,0 - 3,25071
92,10,Liverpool - Cardiff City,Stuart Attwell,4 - 1,53373
93,10,Southampton - Newcastle United,Chris Kavanagh,0 - 0,30736
94,10,Watford - Huddersfield Town,Mike Dean,3 - 0,20457
95,10,Leicester City - West Ham United,Michael Oliver,1 - 1,31848
96,10,Burnley - Chelsea,Craig Pawson,0 - 4,21430
97,10,Crystal Palace - Arsenal,Martin Atkinson,2 - 2,25718
98,10,Manchester United - Everton,Jonathan Moss,2 - 1,74525
99,10,Tottenham Hotspur - Manchester City,Kevin Friend,0 - 1,56854
100,11,AFC Bournemouth - Manchester United,Paul Tierney,1 - 2,10792
101,11,Cardiff City - Leicester City,Lee Probert,0 - 1,30877
102,11,Everton - Brighton & Hove Albion,David Coote,3 - 1,38966
103,11,Newcastle United - Watford,Craig Pawson,1 - 0,49157
104,11,West Ham United - Burnley,Roger East,4 - 2,56862
105,11,Arsenal - Liverpool,Andre Marriner,1 - 1,59993
106,11,Wolverhampton Wanderers - Tottenham Hotspur,Mike Dean,2 - 3,31185
107,11,Manchester City - Southampton,Lee Mason,6 - 1,53916
108,11,Chelsea - Crystal Palace,Michael Oliver,3 - 1,40407
109,11,Huddersfield Town - Fulham,Anthony Taylor,1 - 0,17082
110,12,Cardiff City - Brighton & Hove Albion,Martin Atkinson,2 - 1,29402
111,12,Huddersfield Town - West Ham United,Chris Kavanagh,1 - 1,24069
112,12,Leicester City - Burnley,Mike Dean,0 - 0,32184
113,12,Newcastle United - AFC Bournemouth,Lee Probert,2 - 1,49266
114,12,Southampton - Watford,Simon Hooper,1 - 1,28153
115,12,Crystal Palace - Tottenham Hotspur,Jonathan Moss,0 - 1,25685
116,12,Liverpool - Fulham,Paul Tierney,2 - 0,53128
117,12,Chelsea - Everton,Kevin Friend,0 - 0,40345
118,12,Arsenal - Wolverhampton Wanderers,Stuart Attwell,1 - 1,60030
119,12,Manchester City - Manchester United,Anthony Taylor,3 - 1,54316
120,13,Brighton & Hove Albion - Leicester City,Chris Kavanagh,1 - 1,30553
121,13,Everton - Cardiff City,Paul Tierney,1 - 0,39139
122,13,Fulham - Southampton,Michael Oliver,3 - 2,24603
123,13,Manchester United - Crystal Palace,Lee Mason,0 - 0,74516
124,13,Watford - Liverpool,Jonathan Moss,0 - 3,20540
125,13,West Ham United - Manchester City,Andre Marriner,0 - 4,56886
126,13,Tottenham Hotspur - Chelsea,Martin Atkinson,3 - 1,55465
127,13,AFC Bournemouth - Arsenal,Craig Pawson,1 - 2,10792
128,13,Wolverhampton Wanderers - Huddersfield Town,Kevin Friend,0 - 2,30130
129,13,Burnley - Newcastle United,Anthony Taylor,1 - 2,20628
130,14,Cardiff City - Wolverhampton Wanderers,Andre Marriner,2 - 1,30213
131,14,Crystal Palace - Burnley,Lee Probert,2 - 0,25098
132,14,Huddersfield Town - Brighton & Hove Albion,Michael Oliver,1 - 2,22973
133,14,Leicester City - Watford,Graham Scott,2 - 0,31353
134,14,Manchester City - AFC Bournemouth,Stuart Attwell,3 - 1,54409
135,14,Newcastle United - West Ham United,Paul Tierney,0 - 3,51853
136,14,Southampton - Manchester United,Kevin Friend,2 - 2,30187
137,14,Chelsea - Fulham,Craig Pawson,2 - 0,40551
138,14,Arsenal - Tottenham Hotspur,Mike Dean,4 - 2,59973
139,14,Liverpool - Everton,Chris Kavanagh,1 - 0,51756
140,15,AFC Bournemouth - Huddersfield Town,Roger East,2 - 1,9980
141,15,Brighton & Hove Albion - Crystal Palace,Kevin Friend,3 - 1,29663
142,15,West Ham United - Cardiff City,Graham Scott,3 - 1,56811
143,15,Watford - Manchester City,Paul Tierney,1 - 2,20389
144,15,Burnley - Liverpool,Stuart Attwell,1 - 3,21741
145,15,Fulham - Leicester City,David Coote,1 - 1,22881
146,15,Wolverhampton Wanderers - Chelsea,Jonathan Moss,2 - 1,31300
147,15,Everton - Newcastle United,Lee Mason,1 - 1,39350
148,15,Manchester United - Arsenal,Andre Marriner,2 - 2,74507
149,15,Tottenham Hotspur - Southampton,Anthony Taylor,3 - 1,33012
150,16,AFC Bournemouth - Liverpool,Lee Mason,0 - 4,10752
151,16,Arsenal - Huddersfield Town,Paul Tierney,1 - 0,59893
152,16,Burnley - Brighton & Hove Albion,Martin Atkinson,1 - 0,18497
153,16,Cardiff City - Southampton,Jonathan Moss,1 - 0,30067
154,16,Manchester United - Fulham,Lee Probert,4 - 1,74523
