,Manchester City,Manchester United,Liverpool,Chelsea,Wolverhampton Wanderers,Arsenal,West Ham United,Tottenham Hotspur,Leicester City,Everton,speelronde
0,3,3,3,3,1,0,0,3,0,1,1
1,6,3,6,6,1,0,0,6,3,4,2
2,7,3,9,9,2,3,0,9,6,5,3
3,10,6,12,12,5,6,0,9,6,6,4
4,13,9,15,15,8,9,3,9,6,6,5
5,16,10,18,16,9,12,4,12,9,6,6
6,19,10,19,17,12,15,7,15,12,9,7
7,20,13,20,20,15,18,7,18,12,12,8
8,23,14,23,21,15,21,7,21,12,15,9
9,26,17,26,24,15,22,8,21,13,15,10
10,29,20,27,27,15,23,11,24,16,18,11
11,32,20,30,28,16,24,12,27,17,19,12
12,35,21,33,28,16,27,12,30,18,22,13
13,38,22,36,31,16,30,15,30,21,22,14
14,41,23,39,31,19,31,18,33,22,23,15
15,41,26,42,34,22,34,21,36,22,24,16
16,44,26,45,37,25,34,24,39,22,24,17
17,44,29,48,37,25,37,24,42,25,24,18
18,44,32,51,40,26,38,27,45,28,27,19
19,47,35,54,43,29,38,27,45,28,27,20
20,50,38,54,44,29,41,28,48,31,27,21
21,53,41,57,47,29,41,31,48,31,30,22
22,56,44,60,47,32,44,31,51,31,30,23
23,56,45,61,47,35,47,31,54,32,33,24
24,59,48,62,50,38,47,32,57,32,33,25
25,62,51,65,50,39,50,33,60,32,33,26
26,65,52,66,53,40,53,36,60,32,33,27
27,68,55,69,56,40,56,36,60,35,36,28
28,71,58,70,59,43,57,39,61,35,37,29
29,74,58,73,60,44,60,39,61,38,37,30
30,77,58,76,60,47,60,42,64,41,40,31
31,80,61,79,63,47,63,42,64,44,43,32
32,83,61,82,66,50,63,42,67,47,46,33
33,86,64,85,66,50,66,42,70,47,46,34
34,89,64,88,67,51,66,43,70,48,49,35
35,92,65,91,68,54,66,46,70,51,50,36
36,95,66,94,71,57,67,49,70,51,53,37
37,98,66,97,72,57,70,52,71,52,54,38
38,101,69,100,75,60,70,55,74,55,57,39
39,104,69,101,76,63,71,58,74,58,60,40
40,107,69,104,79,64,74,61,74,58,63,41
41,110,70,104,82,64,74,61,77,59,64,42
42,113,73,107,85,64,75,64,77,59,65,43
43,113,76,110,88,64,78,67,78,62,68,44
44,116,77,113,91,65,79,70,78,63,69,45
45,119,80,116,94,68,79,73,79,66,72,46
46,122,83,119,95,71,82,76,82,69,73,47
47,125,84,122,98,71,85,79,83,72,73,48
48,128,87,125,101,72,88,82,84,73,74,49
49,131,87,125,104,72,91,85,85,73,74,50
50,132,90,128,107,73,94,85,85,76,74,51
51,133,93,131,108,76,95,88,86,77,77,52
52,136,93,134,111,77,95,91,86,78,77,53
53,137,93,137,112,78,98,94,86,81,78,54
54,140,94,137,115,81,101,97,87,84,81,55
55,143,94,137,118,82,104,97,87,84,81,56
56,146,95,137,119,83,107,100,87,87,84,57
